country_code,country,year,inflation,gfcf,gov_exp,life_expectancy,gdp_per_capita
DEU,Germany,YR2010,1.1038103778926,19.5425050694119,9.11344146728516,79.9878048780488,38945.9217348604
GEO,Georgia,YR2010,7.11017897486099,18.9193276386699,8.99547100067139,72.128,7567.66412576382
FRA,France,YR2010,1.53112270420926,22.1054193151969,9.92166805267334,81.6634146341463,35894.9921081735
FIN,Finland,YR2010,1.18413523154646,22.2963384234332,12.1376848220825,79.8707317073171,38949.7244997518
EST,Estonia,YR2010,2.97204512015694,21.2342183620859,16.1728553771973,75.4292682926829,21615.7400462342
DNK,Denmark,YR2010,2.31092436974789,18.1136889786562,12.583722114563,79.1,42995.6175669409
CZE,Czechia,YR2010,1.47272727272722,27.1488177676709,10.585657119751,77.4243902439025,27877.1437357602
CYP,Cyprus,YR2010,2.43004084102254,22.4521887561519,15.5240621566772,79.665,33417.7578125
HRV,Croatia,YR2010,1.03055505333574,20.8752024905299,10.8336887359619,76.4756097560976,20088.0434492854
BGR,Bulgaria,YR2010,2.43899060504113,22.1822267262167,9.88965129852295,73.5121951219512,14955.8951303858
BEL,Belgium,YR2010,2.18929920422457,22.1230869298103,11.2154445648193,80.1829268292683,39833.1840540415
AUT,Austria,YR2010,1.81353438995062,21.5967237748965,9.69365501403809,80.5804878048781,42002.1571364403
ALB,Albania,YR2010,3.62604695579816,28.4284718608957,11.4857339859009,77.936,9627.07697313628
GBR,United Kingdom,YR2011,3.8561124468282,15.7116306485664,12.7290105819702,80.9512195121951,37224.3787645256
UKR,Ukraine,YR2011,7.95572466274652,18.3513220642495,14.6379528045654,70.8092682926829,9246.76953125
TUR,Turkiye,YR2011,6.471879671151,27.7440476695124,11.3725204467773,74.941,19590.9510387254
CHE,Switzerland,YR2011,0.2313492076509,25.5188489817761,15.3431043624878,82.6951219512195,57493.5810559211
SWE,Sweden,YR2011,2.9611507382214,22.8939846911335,12.7232084274292,81.8024390243903,44608.5802614915
ESP,Spain,YR2011,3.1961018883379,20.0217529656512,9.69765377044678,82.4756097560976,31867.9732396862
SVN,Slovenia,YR2011,1.8028517194191,19.9444236500335,12.5648069381714,79.9707317073171,28931.383323805
SVK,Slovak Republic,YR2011,3.9192859914629,23.1753359847567,10.3220014572144,75.9585365853659,26258.8286328192
SRB,Serbia,YR2011,11.1373976342129,17.5072183210398,10.1795701980591,74.5365853658537,13746.884823093
RUS,Russian Federation,YR2011,8.4404648593256,21.3216555211764,9.63115692138672,69.6839024390244,22798.673828125
